drep_id,name,ref_proposal_vote,target_proposal_vote,status,voting_power_ada
drep1y27a56gx9vm6yhjm9wsvvp847mt0dv4cyx93vz2r5rjytnsew90d6,Next Epoch,Yes,Yes,Same Vote,1268875
drep1y269ehxj30k4vfzfc2z84v0xykd3amuy2xn0kv9zf8rhcec2fg2jr,MREDGARCROSS,Yes,Yes,Same Vote,624353
drep1ydpfkyjxzeqvalf6fgvj7lznrk8kcmfnvy9hyl6gr6ez6wgsjaelx,Cardano Foundation,Yes,Abstain,Changed Vote,119761396
drep1y2anuetphncrua2ya46uwgw0rwkyzxr7jll0rv9259u0zvgrh3ng2,Ryan Jones_Maestroman,Yes,Not Voted,Not Voted on Target,819928
drep1ythej7tvvq0tgat3l7ge6q40uarj02qmml5puzzgr00sd0gqtdeld,Bamboo_Drep,Yes,Not Voted,Not Voted on Target,2344812
drep1yfju2f0hy2q0z9x8lahy7v3v4rqm2z8kmv07juercm5zqhqmnunqa,,Yes,Not Voted,Not Voted on Target,181405
drep1yggywput6rlwkrs2wzygfl3t4qryj3d53uuw92z9p0qp0uqpl2raf,In Good Fortune,No,Not Voted,Not Voted on Target,65721
drep1yt5cc878w5c8umxrfudnmzw425epxnvvttw7hhrhwfhp0zqf400ze,Paul Ko,Yes,Yes,Same Vote,10770895
drep1ygvgk3899qm38zth07z5clhfjvzfhe2mf2kvkqrfxp93r5srjre5s,AltcoinOracle,No,Not Voted,Not Voted on Target,3815328
drep1yfeqm8wfd2h9pf2c9y934qskuw3z04selrpr7esf4gdsl2c5zvpgf,KryptoLabs,Yes,Not Voted,Not Voted on Target,386109
drep1ytf9f78k7rkwk4cu6l2nvna22keu9yus4kqzc0hqspd36uszu0xc2,Terminada,Yes,Not Voted,Not Voted on Target,17405416
drep1y2xacakh0g8q4exfgmvywy62an74cj7ejcpcrgq6vh4dckqhtsyh5,Aichi/Tokai_DRep,Abstain,Yes,Changed Vote,31430438
drep1ygs5hngva3hymv7j4v0aewxpsjqskj9dnmy7j3jz5ven5zqvulq2t,Hermes Stakepool Germany (HRMS),Yes,Yes,Same Vote,66032624
drep1yte3chru8m7d3gzgpwvmgan0gjfxru9r9cyvrkkcerc0wcg6qfvtc,Varavas,Yes,Abstain,Changed Vote,4433021
drep1ytfnmf4uftt4fe0h63xhadl0v402gr6nnhtcgrq2sas26kgaf3n5y,DINO,Yes,Yes,Same Vote,21202570
drep1ygsrvdukj9unnxue5ffmrkjr9ve7yxz3wvccdstapmw696q8g2w9u,Cryptotexty,No,No,Same Vote,45221
drep1yt4lyf0fwlrz8k6j5evd3rxw0sqp67qkh36su98a97q3qsc0h03y4,Cardanians,No,No,Same Vote,16712792
drep1yt77crnmjuqkj9gcwjjsurez7s07jhwhyt4suxs3xeqftcsfrspun,JAZZ,Yes,Yes,Same Vote,92202096
drep1yfqwhs8qe2yajwq4r0anpf2q0tp26rxxjuee6jdg9clfrpcs6vjhy,QuocTuan,Yes,Not Voted,Not Voted on Target,252843
drep1y28uwdrz2acyp4jka5fqp2fa3hp0klpme8wug3f5p2y45zsc0e8qw,Daehan_kor,No,Not Voted,Not Voted on Target,4817946
drep1ytfwpmt2fvdnyvlswyjyggpf8alwkpm7ha6cua9nsak525ssmvm57,CryptoCrow,Yes,Not Voted,Not Voted on Target,255170506
drep1y2dptycrks2ggae95leeh66m0l0svet98c44hl4rmaec7as6hgpp3,LallyMcClay,Yes,Yes,Same Vote,331423
drep1y2gh7lj3jt89vs63rtr4vj5g4ulxhmp7t0dkh6hcel90mlsujgqlu,Kevin_ALBERT,Yes,Yes,Same Vote,1223725
drep1yfu5d42qfu7e3euu4kkamcg3g3z2zn6sd674gkdww8ey63stlsrlt,Linda - Cryptofly,No,Abstain,Changed Vote,38368193
drep1y2r5kww2gj4j6l2h7065fk5jtfhzxwf37ryygkdx4qhmpvqlah2jj,,No,Yes,Changed Vote,4013963
drep1ytkzpmmukjy6qn6xd5skqm0ypcj5juw9rxddr5mmlzgjvtcghwqjr,This Corrosion,No,Yes,Changed Vote,1660349
drep1y204jqvq0hu4m26gsaskmaas8vju2ls30hh2s0dhpj03t9qafvuzl,Clarity Cofounder dRep,Yes,Not Voted,Not Voted on Target,2036087
drep1ytfas4axhm8yzrqqh4ru2uuqesu87zeq6fwg5pq8azqf7ecu4nu8s,Peter Horsfall,Yes,No,Changed Vote,5335350
drep1ytm2zedqf54prqf5kfvzq56dgr7s3p4h53w8z428z6l2c8cj8e33y,Anonymous,Yes,Yes,Same Vote,6810
drep1y2hlgh9600zjlt39dh54z7z8d65kahneck8yhh7ugmzc9as0xrzqd,,Yes,Abstain,Changed Vote,7579875
drep1ytckh5852vysgdg0j5y63ga7k0q4udwfjuprgx4pjwwt8dsjehfza,Javi M. ,Yes,Yes,Same Vote,110837
drep1ygrnrg598f38xxg83cg6hudq209w0t578lq9ceh9np99d8cgn67wp,Seidu Ziblim ,Yes,Not Voted,Not Voted on Target,103128
drep1ygj02llvuusnhphvhlxf7d2cxhs53twjnwwl5at3zwht4xc6xdgl4,Nimuë Lady of the Lake Pool,Yes,Abstain,Changed Vote,1591132
drep1yg8vjs7ute7z7vyd8yez5tgjey6043djjfh8d3n7sjev35g064xxc,,No,Yes,Changed Vote,4618821
drep1ygm9wxzrrdqpt0hek5kj7ys6tmsc8dycp7tkjwqxqrhjr6csq3s3t,Patrick_Tobler,No,No,Same Vote,40052581
drep1y23wk4w6f2aumc92vl9m3x74xzm6jh4ha9wdq09yfq2sl6q8zlv4l,,Yes,Abstain,Changed Vote,786481
drep1yf0s5guxklwlqn7ttdpfwmmkaucwaqkkm6hzncy8nful5fgemurcj,STORM Partners,Yes,Not Voted,Not Voted on Target,5296812
drep1ygqcj6cjm8arjwcxax7kcwem93k6jszc3lvufmxszv0ep9cp5kely,,Yes,Not Voted,Not Voted on Target,103095
drep1ytn29gxylzlrhzmkt4c75w7qmesxqc248r9089f0pvuysdqeva6ht,Giovanni Gargiulo,Yes,Not Voted,Not Voted on Target,3513785
drep1ytcypl8fyuvm2epkjz2m4wzf24y26vj998wj4cvu7nnpgygh2sltr,RABIT,No,Not Voted,Not Voted on Target,1163896
drep1yggcntj7vdc2l3j05w0ep84ay8qjz0fnrse6rl8gccd9fsqadw3qg,WaffleCapital,Yes,Not Voted,Not Voted on Target,7782674
drep1ygqgayvx8yzsaj9hprja3l6jy3v4px9z3u8uvecuvm3f92ce7mckx,Army of Spies,Yes,Yes,Same Vote,85729510
drep1y2fhyudw8ju53e296c3yugvul6h3fpurhnx45lfa9e5meqgtky0gg,,Abstain,No,Changed Vote,5874773
drep1ytcw6qzpqqclx2yd0zy64ztvlkkhnf6yrzza8whgnq4vz5gh89626,BWtake(長崎)Japan,Yes,Yes,Same Vote,2583137
drep1ytuddrgqca0xd4aams6pl9zndpcmxg0rs7z3mggjelm6kscp4arg5,SASA_nagamaru_ながまる,Yes,Yes,Same Vote,74495230
drep1yggtnkr9464nmpd949swrv02rsvq6lca8nkce3kvf03uj5cclp3j2,,Yes,Not Voted,Not Voted on Target,1915032
drep1yfv77z2fsz7nucy59lx2pkafamathf8q783lalkr3quju0gv93lq2,Rudianos,Yes,Not Voted,Not Voted on Target,108268
drep1yfgssww5qn4w5w9g2pmtj94rg0l2jtcz87w9d4m459dpqhqm9g4pu,World Peace,Yes,Not Voted,Not Voted on Target,92547
drep1yfvw769lf7g5p4hx0cl2f8jxdcufdcqqj36u0n9escjcwdswcj4h6,,Yes,Not Voted,Not Voted on Target,185561
drep1yfmrv0kyjverz4f76p3raq58rpwdla9rra0pudlzymx29rqdcg8mz,Zukki_Ancap,No,Not Voted,Not Voted on Target,323412
drep1ygxtldfpas0gh9u20zvpwladxwvj8hdd5wxkkgt8ylxanacfy7wke,Kurdopia,Yes,Yes,Same Vote,479503
drep1yffld2866p00cyg3ejjdewtvazgah7jjgk0s9m7m5ytmmdq33v3zh,SIPO,Yes,Yes,Same Vote,89785235
drep1ytcv4ax77s0enqef56qjflf4d8zjgxulukme9uf5p8cfaagysjppn,Socious,Yes,Yes,Same Vote,34315146
drep1y2m0g4r66pyaw3p7u454wc0p4f0ygm8ueaev0mgd3tvwm7sskqwqp,CardanoYoda (MANDA Pool),No,No,Same Vote,92975143
drep1ygeyfh8nm03dnl5a2hxdtv09pu7uhep9l0cpg0zpr60jqys05cku2,Cash,Yes,Yes,Same Vote,2862178
drep1y2tp9q9vckglgkgkgcdc33jtahrstfzfj3c8ez926ysszjqp5r4ts,Zacros,Yes,Not Voted,Not Voted on Target,320603
drep1y2w5wljjaj64hf932lf5rrees65lddrzxt6r35g6xdyqy2s255hkq,,Yes,Yes,Same Vote,4637
drep1ytd7s3he5rgxhkx0t2vnun25wy3t263877czxw8nelcld8ce66v4c,Yosh,Yes,Not Voted,Not Voted on Target,948851
drep1yts3qdjsqcnhld4r3uek2uu0n2tnh824tgnf75a83q3yhequuy54u,AKYO,Yes,Yes,Same Vote,8814534
drep1ytd2mf58tfqv78z7e99fy0gnmfep0kscclnwpvx7qvwpc5srxwg5g,Crypto Eats Legacy,Yes,Yes,Same Vote,589633
drep1y20w8vxwd3venlvp0muxwzmdlr7a006dpz580czmaj422sqng6fkg,Andreas Sosilo,Yes,Not Voted,Not Voted on Target,717340
drep1y25xtvu3d0gaf6cxktr9pkfgnywmqsh4fum93s8m3hlp4aqj3uqdp,Chris-O,Yes,Yes,Same Vote,51389500
drep1yt9xg7l0dlgxj3lyewmndzrq5wzj3f4nusdkpfa9n7zf4ssayqnk0,Tobias Ilskov,Yes,Not Voted,Not Voted on Target,2680807
drep1ygnh2uf4wkc8ldgfxwz7rzuga3m8jtqew9xh5g3n587mg6g3ge0sj,hix_coffeepool,No,No,Same Vote,48784835
drep1y24028syvj5t5aulkz7qf37d0rqamjxuufysddezggwvzvsrnnuah,,Yes,Not Voted,Not Voted on Target,0
drep1ygr9tuapcanc3kpeyy4dc3vmrz9cfe5q7v9wj3x9j0ap3tswtre9j,Yoroi W₳llet,Yes,Yes,Same Vote,585734577
drep1yghm3canzwv736un9usqrxpfvxrm68k9hz0ppvrxe7n7lfgmsxru8,taichiyokoyama,Yes,Abstain,Changed Vote,1921198
drep1y26sfka2km0p4xw073ujdq406wxxczhdyfh9vw7yxpfselchzkdjn,YOADA,Yes,Yes,Same Vote,5457153
drep1yt6lgdpqjey286qwt287mnk7sdqh95avfmde42vq3mltjys75kg5k,MUEN,Yes,No,Changed Vote,34553431
drep1y2y3euudfnw48xeulsfupsttlx8c4xphhaw90d66dvcrazgjdm5uc,,No,No,Same Vote,1067005
drep1ytvlwvyjmzfyn56n0zz4f6lj94wxhmsl5zky6knnzrf4jygpyahug,EMURGO,Yes,Yes,Same Vote,292553978
drep1y2200we9c904un36tzaearntzzl63snffuul9qsk0te4utqfkke0w,YUTA,Yes,Yes,Same Vote,432949136
drep1y2rajzp3da0scf8whz35eug0grlfn284f54ldlwnxx97fjg2xpcwt,VNEconomics,Yes,Not Voted,Not Voted on Target,382841
drep1y2j2q9pcl855969ea9csrhdta6slnamctgzuvuqnnkl6fusqyjy36,Rodrigo-[CHIL],Yes,No,Changed Vote,16998399
drep1y2f5m5mn48q65xkw65q2kfd2tkakz3lh8553ugmcsq0ahnsl2nfcj,HenriqC,Yes,Yes,Same Vote,2533347
drep1ytjyvm958ywjkp57f8wm3havj72lc653tp7ajttxxt6ftgcmcmdk2,,No,No,Same Vote,245553
drep1ytm8770aqd0xqn8f30y3cc3wtsah59vqg5u4ju7xmphl4ecyn8cap,Suzhou Capital,Yes,Not Voted,Not Voted on Target,1707
